"Name","State","Notes","User","Tags","Created","Runtime","Sweep","adversarial_alpha","adversarial_hidden_dim","adversarial_weight","alignment_weight","audio_dim","audio_encoder_type","audio_learning_rate","audio_model_name","batch_size","bert_learning_rate","contrastive_loss_type","contrastive_temperature","contrastive_warmup_epochs","contrastive_weight","dropout","early_stopping_patience","emotion2vec_upstream_dir","expected_vad.0","expected_vad.1","expected_vad.2","expected_vad.3","experiment_name","fusion_hidden_dim","fusion_type","gradient_accumulation_steps","hidden_dim","label_smoothing_beta","label_smoothing_max","learning_rate","margin_base","max_audio_seconds","modality","num_attention_heads","num_classes","num_epochs","projection_dim","projection_hidden_dim","proto_predictor_hidden_dim","proto_predictor_weight","prototypical_alpha","prototypical_beta","prototypical_threshold","prototypical_weighting_alpha","seed","seeds","separation_margin","separation_weight","stage1_epochs","stage1_percentile","stage2_lr_factor","task_type","test_datasets","text_max_length","text_model_name","train_dataset","unfreeze_audio_layers","unfreeze_bert_layers","use_contrastive","use_domain_adversarial","use_proto_predictor","use_prototypical_adversarial","use_prototypical_label_smoothing","use_prototypical_weighting","use_two_stage_training","vad_output_dim","val_split","wandb_project","weight_decay","epoch","test/CMUMOSEI_acc","test/CMUMOSEI_uar","test/SAMSEMO_acc","test/SAMSEMO_uar","train/accuracy","train/global_step","train/loss","train/primary_loss","train/step_loss","train/uar","val/accuracy","val/loss","val/uar","stage"
"PAR_E2V_ALL3_frozen_baseline","finished","-","","","2026-03-06T15:43:58.000Z","17760","","2","256","0.1","1","768","emotion2vec","5e-7","iic/emotion2vec_base","32","5e-7","supervised","0.07","5","0","0.1","5","/home/rml/Documents/pythontest/emotion2vec/upstream","[0.4896,0.5458,0.5458]","[0.7127,0.5518,0.5518]","[0.306,0.4895,0.4895]","[0.2397,0.6102,0.6102]","PAR_E2V_ALL3_frozen_baseline","1024","cross_attention","4","1024","0.5","0.6","0.000005","0.1","30","both","8","4","50","128","512","256","0.5","1","0.5","1","2","42","[42]","2","0.5","30","50","0.5","classification","[""CMUMOSEI"",""SAMSEMO""]","128","bert-base-uncased","[""IEMO"",""MSPI"",""MSPP""]","0","0","false","false","false","true","false","false","false","3","0.1","emotion2vec_finetune_sweep","0.000001","32","0.4370485036119711","0.4896257793549954","0.46162998215348006","0.5170672672216291","0.7626796853810687","2784","0.4437546286452023","0.4437546286452023","0.3602781891822815","0.798657014141039","0.6813365933170334","0.7848085096249213","0.7178813796049821",""
"W2V_ALL3_preextracted_baseline","finished","-","","","2026-02-25T19:40:56.000Z","2817","","2","256","0.1","1","768","preextracted","5e-7","facebook/wav2vec2-base-960h","128","5e-7","supervised","0.07","5","0","0.1","10","","[0.4896,0.5458,0.5458]","[0.7127,0.5518,0.5518]","[0.306,0.4895,0.4895]","[0.2397,0.6102,0.6102]","W2V_ALL3_preextracted_baseline","1024","cross_attention","","1024","0.5","0.6","0.000005","0.1","","both","8","4","64","128","512","256","0.5","1","0.5","1","2","42","[42]","2","0.5","30","50","0.1","classification","[""CMUMOSEI"",""SAMSEMO""]","128","bert-base-uncased","[""IEMO"",""MSPI"",""MSPP""]","0","0","false","false","false","true","false","false","false","3","0.1","wav2vec2_sweep","0.0001","31","0.5567595459236326","0.5107021737207418","0.5504659924648027","0.5805791962404273","0.690332641474209","","0.594894775388281","0.594894775388281","","0.7733764614168376","0.5732502965599051","1.0191543102264404","0.6118033593270189",""
