"Name","Runtime","End Time","test/CMUMOSEI_uar","test/SAMSEMO_uar","test/IEMO_uar","test/MSPI_uar","test/IEMO_acc","test/MSPI_acc"
"MSPP_UF4_proto_anchored_BERT","21554","2026-03-21T14:40:59.000Z","0.5555007495320139","0.6854319980984699","0.6277624986219585","0.5595162544786414","0.6224944320712695","0.5328289304949987"
"MSPP_UF4_proto_anchored","21246","2026-03-18T06:22:11.000Z","0.5417890045106863","0.6750103352303315","0.6258124386676851","0.5551491037458459","0.622271714922049","0.5424467812259554"
"MSPP_UF2_BERT4_proto_anchored","18611","2026-03-18T18:50:00.000Z","0.5331229010757185","0.6727060458531315","0.6173655579144453","0.5539666834898954","0.6084632516703786","0.5226981277250577"
"MSPP_UF2_BERT4_supcon","26205","2026-03-18T13:39:21.000Z","0.5290463974716846","0.6775593515767271","0.6169647891427049","0.5506973418036663","0.6265033407572383","0.5615542446781226"
"MSPP_UF2_supcon_w08","36386","2026-03-17T09:04:24.000Z","0.5243813212361214","0.668738854534272","0.6251080077149926","0.5457600949700221","0.6325167037861915","0.5628366247755835"
"MSPP_UF4_supcon","22160","2026-03-18T00:27:40.000Z","0.522702560679797","0.6776307723062607","0.6204384373026611","0.5487670331536799","0.6149220489977728","0.5783534239548602"
"MSPP_UF2_proto_anchored_twostage_p70","23871","2026-03-19T10:45:20.000Z","0.5224644494667147","0.655339379653262","0.6093892945543591","0.531403557005105","0.6164810690423163","0.5606565786098999"
"MSPP_UF4_BERT_Baseline","35717","2026-03-21T08:41:23.000Z","0.5204975695368234","0.6822935163783511","0.6188721051768735","0.5521320581190375","0.6037861915367483","0.5525775839958964"
"MSPP_UF2_supcon_twostage_p70","33396","2026-03-19T04:07:07.000Z","0.51884330507717","0.6689880579964311","0.611148078768153","0.5326081941865167","0.6173719376391982","0.5536034880738651"
"MSPP_UF2_proto_v2","27711","2026-03-16T17:03:25.000Z","0.5182144188910447","0.6734900594099598","0.615710855016746","0.540308788872548","0.6160356347438752","0.5530905360348808"
"MSPP_UF2_proto_anchored_w08","21182","2026-03-17T14:58:12.000Z","0.517335194181205","0.6738228284066948","0.6128038323399019","0.5412817866343134","0.6075723830734967","0.5501410618107206"
"MSPP_UF2_supcon","18975","2026-03-16T04:04:26.000Z","0.5167815925308699","0.6719969503247347","0.6201479474418755","0.5432324719259403","0.610913140311804","0.5701461913311106"
"MSPP_UF2_proto_anchored","21228","2026-03-16T22:57:35.000Z","0.5165440549406987","0.6760583348359195","0.6134506263770487","0.5437155662914828","0.6069042316258352","0.5473198255963068"
"MSPP_UF2_proto_v1","18984","2026-03-16T09:21:14.000Z","0.5131631618952363","0.6699768261283592","0.6166514682392618","0.5416075824518898","0.6075723830734967","0.5715568094383175"
"MSPP_UF4_Baseline","28517","2026-03-20T22:45:41.000Z","0.5031819268624664","0.6589868909039349","0.6122097748283537","0.5412045542687859","0.6207126948775056","0.5929725570659143"
"MSPP_UF2_baseline","17728","2026-03-15T22:47:47.000Z","0.5023881568188628","0.6620178080629617","0.6197558924479059","0.5352130862247451","0.6251670378619154","0.5600153885611695"
